City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,kruisfontein,-34.0033,24.7314,19.38,89,86,3.59,ZA,1682365820
220,bloemfontein,-29.1211,26.214,15.71,59,100,1.54,ZA,1682365893
221,mossel bay,-34.1831,22.146,17.96,82,94,2.56,ZA,1682365893
222,port lincoln,-34.7333,135.8667,18.44,57,52,2.45,AU,1682365892
223,aoulef,26.9667,1.0833,28.91,8,0,4.78,DZ,1682365893
224,sao jose da coroa grande,-8.8978,-35.1478,25.69,84,70,3.39,BR,1682365893
225,sogndal,61.2283,7.1003,6.21,60,100,4.63,NO,1682365893
226,lauro de freitas,-12.8944,-38.3272,29.01,74,40,4.12,BR,1682365894
227,crixas,-14.5489,-49.9692,29.08,63,8,1.55,BR,1682365894
228,sitka,57.0531,-135.33,5.93,75,90,4.44,US,1682365889
229,burela de cabo,43.65,-7.4,15.65,77,100,4.21,ES,1682365895
230,mercedes,-34.6515,-59.4307,22.66,45,100,3.75,AR,1682365895
231,yatou,37.15,122.3833,8.16,33,100,1.64,CN,1682365895
232,chonchi,-42.6128,-73.8092,13.95,67,100,1.99,CL,1682365896
233,qusmuryn,52.4503,64.6311,12.44,46,16,3.03,KZ,1682365896
234,jayapura,-2.5333,140.7,25.66,92,86,2.06,ID,1682365896
235,bella vista,36.4295,-94.2316,20.18,26,0,4.12,US,1682365680
236,kwang binh,17.4833,106.6,24.23,90,44,1.29,VN,1682365751
237,chiang kham,19.5233,100.3,24.42,50,0,1.22,TH,1682365897
238,mahdia,35.5047,11.0622,19.97,63,45,3.73,TN,1682365897
239,sosnytsya,51.5239,32.4999,9.36,81,40,2.5,UA,1682365897
240,uturoa,-16.7333,-151.4333,26.83,81,25,5.02,PF,1682365898
241,jucas,-6.5253,-39.5275,30.42,40,65,2.23,BR,1682365898
242,madaoua,14.073,5.96,32.77,21,70,1.19,NE,1682365898
243,nova vicosa,-17.8919,-39.3719,25.3,71,37,5.31,BR,1682365898
244,fisterra,42.9049,-9.2629,16.53,91,100,4.2,ES,1682365899
245,ta`u,-14.2336,-169.5144,27.33,78,26,4.13,AS,1682365705
246,joao pinheiro,-17.7425,-46.1725,22.49,67,100,3.95,BR,1682365899
247,beberibe,-4.1797,-38.1306,26.89,79,43,3.04,BR,1682365899
248,tazovsky,67.4667,78.7,-8.53,96,97,4.0,RU,1682365900
249,mudu,31.252,120.5118,11.8,68,100,2.06,CN,1682365900
250,amga,60.8953,131.9608,-3.6,95,100,2.62,RU,1682365900
251,dudinka,69.4058,86.1778,2.57,81,100,7.91,RU,1682365900
252,constantia,44.1833,28.65,8.38,85,100,5.45,RO,1682365800
253,khvoynaya,58.9,34.5333,10.59,66,23,2.44,RU,1682365900
254,cox's bazar,21.4532,91.9798,24.84,75,1,3.2,BD,1682365901
255,villiers,-27.0303,28.6006,16.54,29,100,1.73,ZA,1682365901
256,kudahuvadhoo,2.6708,72.8944,28.66,76,97,3.02,MV,1682365657
257,kalach,50.4258,41.0261,11.67,83,100,4.01,RU,1682365901
258,howrah,22.5892,88.3103,24.0,83,20,0.0,IN,1682365901
259,souillac,-20.5167,57.5167,25.21,88,20,1.54,MU,1682365901
260,turkmenbasy,40.0222,52.9552,19.43,48,0,2.06,TM,1682365901
261,papao,-17.75,-149.55,28.82,83,92,5.5,PF,1682365901
262,tomatlan,19.9333,-105.25,32.44,29,100,4.8,MX,1682365902
263,yingkou,40.6648,122.2283,9.56,72,100,6.54,CN,1682365902
264,college,64.8569,-147.8028,-8.03,51,75,5.66,US,1682365902
265,magadan,59.5667,150.8,0.85,74,100,5.88,RU,1682365746
266,gadzhiyevo,69.2551,33.3362,-7.82,84,7,4.59,RU,1682365902
267,sept-iles,50.2001,-66.3821,6.29,73,40,6.17,CA,1682365667
268,downpatrick,54.3263,-5.7035,7.26,73,7,3.21,GB,1682365902
269,suva,-18.1416,178.4415,21.71,94,75,1.54,FJ,1682365903
270,mukharram al fawqani,34.8151,37.0861,12.37,66,0,3.07,SY,1682365903
271,ngetkib,7.3645,134.5148,23.14,100,40,0.0,PW,1682365903
272,mount gambier,-37.8333,140.7667,13.9,73,50,3.04,AU,1682365883
273,ochakiv,46.6128,31.5498,10.8,72,4,3.23,UA,1682365903
274,bata,1.8639,9.7658,28.92,84,40,2.06,GQ,1682365903
275,deschutes river woods,43.9915,-121.3584,10.92,39,0,5.14,US,1682365903
276,hasaki,35.7333,140.8333,9.56,52,74,5.2,JP,1682365904
277,brindisi,40.5833,17.6667,16.54,66,0,5.07,IT,1682365904
278,qaqortoq,60.7167,-46.0333,2.72,79,23,2.89,GL,1682365904
279,san rafael,-34.6177,-68.3301,24.3,29,0,3.59,AR,1682365836
280,fountain inn,34.689,-82.1957,20.9,34,0,2.68,US,1682365904
281,solnechnyy,50.7214,136.6319,-1.72,60,9,3.03,RU,1682365904
282,sidi ifni,29.3797,-10.173,25.86,72,15,0.75,MA,1682365904
283,la mira,18.035,-102.3266,29.9,52,9,4.58,MX,1682365905
284,larreynaga,12.6769,-86.5719,36.94,31,42,1.93,NI,1682365905
285,shenjiamen,29.9576,122.298,14.15,88,100,5.83,CN,1682365905
286,bubaque,11.2833,-15.8333,25.9,72,1,7.07,GW,1682365905
287,ebon,4.582,168.6964,28.1,79,100,7.42,MH,1682365905
288,talnakh,69.4865,88.3972,2.34,77,88,4.07,RU,1682365894
289,port saint john's,-31.6229,29.5448,23.26,62,100,1.82,ZA,1682365905
290,peniche,39.3558,-9.3811,16.63,89,55,4.09,PT,1682365906
291,novo horizonte,-21.4681,-49.2208,25.32,61,1,2.29,BR,1682365906
292,al ghayzah,16.2079,52.176,28.28,74,24,5.31,YE,1682365906
293,qamdo,31.1667,97.2333,-3.67,31,48,1.97,CN,1682365906
294,bobo-dioulasso,11.1771,-4.2979,36.25,28,0,1.03,BF,1682365906
295,al kharijah,25.4514,30.5464,26.96,16,35,4.41,EG,1682365906
296,usinsk,65.9939,57.5281,-3.71,89,100,3.22,RU,1682365907
297,mount pearl,47.5166,-52.7813,3.31,94,100,8.75,CA,1682365899
298,luderitz,-26.6481,15.1594,17.06,89,1,4.05,NA,1682365884
299,emiliano zapata,18.8333,-99.1833,31.48,26,100,2.23,MX,1682365907
300,yarovoye,52.9273,78.58,4.86,52,30,5.99,RU,1682365907
301,general acha,-37.377,-64.6043,23.36,31,94,5.86,AR,1682365880
302,ust-nera,64.5667,143.2,-11.35,95,81,3.09,RU,1682365660
303,kovdor,67.5662,30.4758,-9.92,94,29,1.06,RU,1682365907
304,mulayjah,27.271,48.4242,29.03,30,89,2.4,SA,1682365907
305,mildura,-34.2,142.15,16.65,54,0,3.36,AU,1682365908
306,nurota,40.5614,65.6886,17.49,25,94,6.09,UZ,1682365908
307,prince george,53.9166,-122.753,10.14,68,75,4.12,CA,1682365790
308,nelson bay,-32.7167,152.15,17.22,98,7,2.24,AU,1682365908
309,tagta,41.6504,59.9164,20.97,26,0,6.17,TM,1682365908
310,pisco,-13.7,-76.2167,27.03,57,0,10.8,PE,1682365888
311,feodosiya,45.0333,35.3833,11.5,75,100,1.12,UA,1682365908
312,dolores,-36.3132,-57.6792,21.79,54,10,4.88,AR,1682365909
313,halifax,44.6453,-63.5724,12.05,77,100,6.71,CA,1682365718
314,golere,16.2557,-14.1017,37.64,12,3,1.59,SN,1682365909
315,santiago de cao,-7.9589,-79.2392,26.07,65,96,5.66,PE,1682365909
316,yuzhno-kurilsk,44.0306,145.8556,4.12,61,15,6.46,RU,1682365770
317,tokamachi,37.1333,138.7667,1.25,57,16,1.97,JP,1682365909
318,myeik,12.4333,98.6,26.48,83,44,1.75,MM,1682365910
319,rio grande da serra,-23.7442,-46.3983,22.86,79,1,3.63,BR,1682365910
320,lata,40.1629,-8.3327,17.12,89,98,1.32,PT,1682365910
321,rongelap,11.1635,166.8941,26.98,83,100,8.35,MH,1682365910
322,bama,11.5221,13.6856,32.11,39,100,3.71,NG,1682365910
323,morwell,-38.2333,146.4,11.12,96,2,0.52,AU,1682365910
324,road town,18.4167,-64.6167,29.05,65,40,3.09,VG,1682365644
325,saint-pierre,-21.3393,55.4781,25.82,78,0,1.54,RE,1682365911
326,san antonio de pale,-1.4014,5.6325,28.45,69,56,1.07,GQ,1682365911
327,kununurra,-15.7667,128.7333,19.99,94,5,0.0,AU,1682365911
328,withernsea,53.7311,0.0335,6.16,63,69,8.89,GB,1682365911
329,saint-louis,16.3333,-15.0,39.8,12,1,3.61,SN,1682365911
330,kainantu,-6.2887,145.8655,15.62,97,80,0.49,PG,1682365911
331,mata-utu,-13.2816,-176.1745,28.23,72,98,2.51,WF,1682365912
332,mareeba,-17.0,145.4333,21.91,90,95,1.3,AU,1682365912
333,kodinsk,58.6881,99.1844,-1.45,96,100,1.6,RU,1682365912
334,aykhal,66.0,111.5,-12.76,100,97,2.13,RU,1682365912
335,sur,22.5667,59.5289,25.54,64,100,6.0,OM,1682365913
336,balcarce,-37.8462,-58.2552,22.44,68,40,1.34,AR,1682365913
337,korla,41.7597,86.1469,13.67,36,4,1.19,CN,1682365913
338,itaituba,-4.2761,-55.9836,34.09,59,40,4.12,BR,1682365913
339,sandnessjoen,66.0217,12.6316,2.58,57,0,2.06,NO,1682365885
340,aitape,-3.1374,142.3475,25.62,87,99,1.42,PG,1682365914
341,punta del este,-34.9667,-54.95,23.31,88,40,5.66,UY,1682365914
342,ash shatrah,31.4117,46.1742,23.99,54,100,4.77,IQ,1682365914
343,diego de almagro,-26.3667,-70.05,22.9,29,0,5.42,CL,1682365914
344,ilhabela,-23.7781,-45.3581,23.18,74,0,1.99,BR,1682365914
345,zaragoza,41.6561,-0.8773,21.56,45,0,1.34,ES,1682365913
346,natal,-5.795,-35.2094,30.36,65,20,6.69,BR,1682365707
347,arkhangel'sk,64.5401,40.5433,1.06,100,100,1.0,RU,1682365915
348,corupa,-26.4253,-49.2431,24.6,77,17,1.61,BR,1682365915
349,twon-brass,4.3151,6.2418,28.46,80,39,6.22,NG,1682365915
350,vogosca,43.9019,18.3481,10.93,87,75,1.54,BA,1682365915
351,alaghsas,17.0187,8.0168,31.85,12,5,4.84,NE,1682365915
352,tamanrasset,22.785,5.5228,25.95,10,20,1.03,DZ,1682365916
353,dickinson,29.4608,-95.0513,23.4,64,75,5.66,US,1682365916
354,torzhok,57.0436,34.9622,12.49,58,94,2.24,RU,1682365916
355,shakhtersk,48.0625,38.5167,10.5,96,100,0.91,UA,1682365916
356,nantucket,41.2835,-70.0995,14.06,78,20,0.0,US,1682365683
357,dingli,35.8614,14.3822,16.56,94,40,6.17,MT,1682365917
358,hassi messaoud,31.6804,6.0729,29.92,15,0,2.06,DZ,1682365917
359,ylitornio,66.3089,23.6773,-9.14,95,79,1.4,FI,1682365917
360,ciudad lazaro cardenas,17.9583,-102.2,29.14,55,9,4.49,MX,1682365917
361,sinazongwe,-17.2614,27.4618,25.59,47,41,1.29,ZM,1682365918
